time[s],data(t-1)[degree],data(t),data(t+1),Average
2880,131.624,131.624,131.624,131.624
2890,131.624,131.624,131.624,131.624
2900,132.1124,131.624,131.624,131.7868
2910,132.1124,132.1124,131.624,131.9496
2920,133.0892,132.1124,132.1124,132.438
2930,132.1124,133.0892,132.1124,132.438
2940,133.0892,132.1124,133.0892,132.7636
2950,132.6008,133.0892,132.1124,132.6008
2960,133.0892,132.6008,133.0892,132.9264
2970,133.0892,133.0892,132.6008,132.9264
2980,133.0892,133.0892,133.0892,133.0892
2990,133.0892,133.0892,133.0892,133.0892
3000,132.6008,133.0892,133.0892,132.9264
3010,133.5776,132.6008,133.0892,133.0892
3020,133.5776,133.5776,132.6008,133.252
3030,133.5776,133.5776,133.5776,133.5776
3040,133.5776,133.5776,133.5776,133.5776
3050,134.066,133.5776,133.5776,133.7404
3060,134.066,134.066,133.5776,133.9032
3070,134.066,134.066,134.066,134.066
3080,134.066,134.066,134.066,134.066
3090,134.066,134.066,134.066,134.066
3100,135.0428,134.066,134.066,134.3916
3110,134.5544,135.0428,134.066,134.5544
3120,134.5544,134.5544,135.0428,134.7172
3130,134.5544,134.5544,134.5544,134.5544
3140,135.0428,134.5544,134.5544,134.7172
3150,135.0428,135.0428,134.5544,134.88
3160,135.0428,135.0428,135.0428,135.0428
3170,135.5312,135.0428,135.0428,135.2056
3180,135.0428,135.5312,135.0428,135.2056
3190,135.0428,135.0428,135.5312,135.2056
3200,135.0428,135.0428,135.0428,135.0428
3210,135.5312,135.0428,135.0428,135.2056
3220,136.0196,135.5312,135.0428,135.5312
3230,136.0196,136.0196,135.5312,135.8568
3240,135.5312,136.0196,136.0196,135.8568
3250,136.0196,135.5312,136.0196,135.8568
3260,136.0196,136.0196,135.5312,135.8568
3270,136.0196,136.0196,136.0196,136.0196
3280,136.0196,136.0196,136.0196,136.0196
3290,136.508,136.0196,136.0196,136.1824
3300,136.508,136.508,136.0196,136.3452
3310,136.508,136.508,136.508,136.508
3320,136.508,136.508,136.508,136.508
3330,136.508,136.508,136.508,136.508
3340,136.9964,136.508,136.508,136.6708
3350,136.508,136.9964,136.508,136.6708
3360,136.9964,136.508,136.9964,136.8336
3370,136.9964,136.9964,136.508,136.8336
3380,136.9964,136.9964,136.9964,136.9964
3390,136.9964,136.9964,136.9964,136.9964
3400,137.9732,136.9964,136.9964,137.322
3410,137.4848,137.9732,136.9964,137.4848
3420,136.9964,137.4848,137.9732,137.4848
3430,137.4848,136.9964,137.4848,137.322
3440,137.9732,137.4848,136.9964,137.4848
3450,137.4848,137.9732,137.4848,137.6476
3460,137.9732,137.4848,137.9732,137.8104
3470,137.9732,137.9732,137.4848,137.8104
3480,137.9732,137.9732,137.9732,137.9732
3490,137.9732,137.9732,137.9732,137.9732
3500,137.9732,137.9732,137.9732,137.9732
3510,138.4616,137.9732,137.9732,138.136
3520,137.9732,138.4616,137.9732,138.136
3530,138.4616,137.9732,138.4616,138.2988
3540,138.95,138.4616,137.9732,138.4616
3550,138.95,138.95,138.4616,138.7872
3560,138.4616,138.95,138.95,138.7872
3570,138.95,138.4616,138.95,138.7872
3580,138.95,138.95,138.4616,138.7872
3590,138.95,138.95,138.95,138.95
3600,138.95,138.95,138.95,138.95
3610,139.4384,138.95,138.95,139.1128
3620,139.4384,139.4384,138.95,139.2756
3630,139.4384,139.4384,139.4384,139.4384
3640,139.4384,139.4384,139.4384,139.4384
3650,139.4384,139.4384,139.4384,139.4384
3660,139.4384,139.4384,139.4384,139.4384
3670,138.95,139.4384,139.4384,139.2756
3680,139.4384,138.95,139.4384,139.2756
3690,139.4384,139.4384,138.95,139.2756
3700,139.4384,139.4384,139.4384,139.4384
3710,139.9268,139.4384,139.4384,139.6012
3720,139.9268,139.9268,139.4384,139.764
3730,139.9268,139.9268,139.9268,139.9268
3740,139.9268,139.9268,139.9268,139.9268
3750,139.9268,139.9268,139.9268,139.9268
